signal,horizon,expected_sign,train_dates,train_ic,train_t,train_positive_share,train_partial_ic,train_partial_t,train_top_bottom_net,train_median_share_spread,test_dates,test_ic,test_t,test_positive_share,test_partial_ic,test_partial_t,test_top_bottom_net,test_median_share_spread,yearly_ic,same_sign_years,years,test_p,test_fdr,c1_train,c2_test,c3_years,c4_economic,c5_not_reversal,passes_1_to_3_and_5
H12,10,1,117,-0.002206682315075204,-0.14504557031939153,0.48717948717948717,-5.0001926446006226e-05,-0.003275881281154481,-6.229085014542935e-06,0.0,82,0.004172969277049576,0.21641836643898743,0.5365853658536586,0.006903838263160761,0.35755739868970515,0.0016709834782264352,0.0016960829450384165,"{'2022': 0.0099, '2023': -0.0244, '2024': 0.0159, '2025': 0.0018, '2026': 0.0078}",4,5,0.8286616511360084,False,False,False,True,False,False,False
H12,20,1,117,-0.005467085651749575,-0.2925648152016135,0.5299145299145299,-0.001885364110399876,-0.10379810024218702,-0.0009321070206676633,0.0,82,0.004444890497827794,0.18699821103751876,0.573170731707317,0.009299286466889671,0.4035983064409188,0.0031155497956099646,0.0016960829450384165,"{'2022': -0.0396, '2023': -0.0191, '2024': 0.0198, '2025': 0.0121, '2026': -0.0076}",2,5,0.8516620355908427,False,False,False,False,False,False,False
H2,5,1,117,0.015259970557374181,1.2037815955431137,0.5042735042735043,-0.0006226231386562689,-0.23233593795078017,0.00268752836204715,0.0,82,8.599924559424808e-05,0.005552022341321702,0.5,0.002678562125099624,0.8473226378481188,0.0014004549375803194,0.003191802816860243,"{'2022': 0.0482, '2023': 0.0096, '2024': 0.0097, '2025': -0.0017, '2026': 0.0028}",4,5,0.9955701498509583,False,False,False,True,False,False,False
H2,10,1,117,0.009357382404902956,0.8403675852483911,0.5470085470085471,0.000673905345733441,0.288521476372127,0.0017175948308963919,0.0,82,0.015162607580002561,0.9513543026528448,0.524390243902439,-0.00037406899412173477,-0.13154361805941375,0.003341372909705569,0.003191802816860243,"{'2022': 0.046, '2023': 0.0008, '2024': 0.0055, '2025': 0.0244, '2026': 0.0008}",5,5,0.3414245496088608,False,False,False,True,True,False,False
H2,20,1,117,0.008185287968408972,0.7827092786903712,0.5299145299145299,-6.412318588646559e-05,-0.029715231435057096,0.002141664166996138,0.0,82,0.010086263121163518,0.8449167453032158,0.5121951219512195,-0.0025669865954229118,-0.9629557277427789,0.003847137424052044,0.003191802816860243,"{'2022': 0.0281, '2023': 0.0032, '2024': 0.0064, '2025': 0.015, '2026': 0.0024}",5,5,0.3981573243308746,False,False,False,True,False,False,False
H3,5,1,117,0.018832241244342345,1.0801902829225223,0.5555555555555556,0.01637347398735388,1.0033445349530072,0.0019440547440007973,0.0,82,0.011699264635456279,0.612877778142026,0.5365853658536586,0.011710083409791726,0.6300482885342445,0.000750971877503212,0.004368333523422528,"{'2022': 0.0306, '2023': -0.0066, '2024': 0.0403, '2025': 0.0187, '2026': 0.0008}",4,5,0.5399571577049797,False,False,False,True,False,False,False
H3,10,1,117,0.020555141436891407,1.137509059738121,0.5726495726495726,0.017960919334124453,1.041051211435579,0.003915610244829545,0.0,82,0.004698398088007533,0.23393053242567355,0.5121951219512195,0.005191600442625979,0.2677082518347189,0.0013757684198641503,0.004368333523422528,"{'2022': 0.0359, '2023': -0.0106, '2024': 0.0465, '2025': 0.0141, '2026': -0.0099}",3,5,0.8150389093077459,False,False,False,False,False,False,False
H3,20,1,117,0.02366212708895351,1.0605031218193588,0.6068376068376068,0.024640761241942255,1.193671286670493,0.007500076245826207,0.0,82,0.006482922523977782,0.2680413856467917,0.5365853658536586,0.007424336412754515,0.31286463905322803,0.0035034444066794445,0.004353491045007473,"{'2022': 0.0079, '2023': 0.0044, '2024': 0.0483, '2025': 0.0168, '2026': -0.0096}",4,5,0.7886674627499954,False,False,False,True,False,False,False
H4,5,1,117,0.011574931814872994,0.6017415348095775,0.5641025641025641,0.013562461944740098,0.7445903315944253,5.685938323061098e-05,0.0,82,-0.00042076506897902754,-0.02135906721510819,0.5,-0.0011014534508712553,-0.05763949058404552,-0.0008432745166782851,0.0031371572037341483,"{'2022': 0.0324, '2023': -0.0123, '2024': 0.0284, '2025': -0.0056, '2026': 0.0077}",3,5,0.9829592257403325,False,False,False,False,False,False,False
H4,10,1,117,0.01264832066833569,0.5933244150122207,0.5726495726495726,0.014078001511160934,0.677411990292619,0.0014241365653967835,0.0,82,-0.004504195427371184,-0.1881442557610678,0.524390243902439,-0.0034242864644799167,-0.1460277537903859,-0.0009983020341367674,0.0031468119035152216,"{'2022': 0.0358, '2023': -0.0195, '2024': 0.0369, '2025': -0.0152, '2026': 0.0122}",3,5,0.8507635694395488,False,False,False,False,False,False,False
