input,kind,horizon,metric,sessions,mean,t,p,stable_halves,first_half,second_half,median_tickers,hit_rate_mean,bh_threshold,fdr_significant,evidence
edge_direction,LABEL,10,mean_signed_bps,10,-7.255946402963258,-0.15291669141851963,0.9033985328084394,True,-0.46453766933992285,-14.047355136586594,679.5,0.4901806594937236,0.08397790055248619,False,NO_EVIDENCE
layer1__control__trend__buy_trend,NUMERIC,5,ic_raw,11,-0.00702355066770701,-0.13258175280900358,0.9038829324921367,False,0.04844085933972721,-0.05324389234056886,1307.0,,0.08404696132596685,False,NO_EVIDENCE
layer1__control__aggression__sell_pct,NUMERIC,20,ic_raw,7,0.010009438854576683,0.1518699359253289,0.9040497933054069,False,0.10000691892384211,-0.05748867119737239,1343.0,,0.08411602209944752,False,NO_EVIDENCE
layer1__control__aggression__buy_pct,NUMERIC,20,ic_raw,7,-0.010009438854576683,-0.1518699359253289,0.9040497933054069,False,-0.10000691892384211,0.05748867119737239,1343.0,,0.08418508287292818,False,NO_EVIDENCE
phantom_gamma_net_gex_proxy,NUMERIC,1,ic_thesis,8,0.0012397581103113387,0.12475632921541865,0.9042235928830719,False,-0.013627120370652827,0.016106636591275505,1379.0,,0.08425414364640885,False,NO_EVIDENCE
contract_vanna,NUMERIC,10,ic_raw,10,0.008340808845525637,0.15043591302912965,0.9049423285585616,False,0.020666734250772888,-0.003985116559721606,551.0,,0.08432320441988951,False,NO_EVIDENCE
phantom_iv_hist_entropy,NUMERIC,1,ic_thesis,8,0.00354205750851274,0.12374466926178386,0.9049957195821308,False,0.043534133302282355,-0.036450018285256874,1379.0,,0.08439226519337018,False,NO_EVIDENCE
call_25d_iv,NUMERIC,1,ic_raw,11,0.008036733216258786,0.12204696144794469,0.9052796286554067,False,0.03195473924719915,-0.011894938476191523,1016.0,,0.08446132596685084,False,NO_EVIDENCE
layer2__median_loss_if_down,NUMERIC,5,ic_raw,14,0.008125317919592756,0.12667956134941674,0.9058325221954386,False,-0.030401841788948895,0.04665247762813441,1358.0,,0.08453038674033149,False,NO_EVIDENCE
rr,NUMERIC,1,ic_raw,10,0.0015022162972232011,0.12130489739053642,0.9061147097646038,False,0.016770112137292056,-0.013765679542845652,1326.5,,0.08459944751381215,False,NO_EVIDENCE
rr_underlying,NUMERIC,1,ic_raw,10,0.0015022162972232011,0.12130489739053642,0.9061147097646038,False,0.016770112137292056,-0.013765679542845652,1326.5,,0.08466850828729283,False,NO_EVIDENCE
days_to_trigger,NUMERIC,5,ic_raw,12,0.013758746631522831,0.12704174336202237,0.906944288274211,False,0.12878032354852764,-0.10126283028548198,693.5,,0.08473756906077348,False,NO_EVIDENCE
absolute_delta,NUMERIC,1,ic_raw,8,0.0016633863755509655,0.12086708747550062,0.9071925688975214,True,0.003254393422757461,7.237932834447034e-05,1039.0,,0.08480662983425415,False,NO_EVIDENCE
move_age_bars,NUMERIC,10,ic_raw,10,-0.007789816171635352,-0.14624494857289463,0.907552929925972,True,-0.0015142494870956564,-0.014065382856175052,1278.5,,0.08487569060773481,False,NO_EVIDENCE
median_max_drawdown_5d,NUMERIC,10,ic_raw,10,-0.014120630105189047,-0.14604146786791544,0.9076797609297125,False,-0.10277578287119134,0.07453452266081324,1325.5,,0.08494475138121547,False,NO_EVIDENCE
layer2__median_max_drawdown_5d,NUMERIC,10,ic_raw,10,-0.014120630105189047,-0.14604146786791544,0.9076797609297125,False,-0.10277578287119134,0.07453452266081324,1325.5,,0.08501381215469614,False,NO_EVIDENCE
theta_decay_expected,NUMERIC,1,ic_raw,17,-0.0020482497841631557,-0.11743889102154459,0.9079738666709831,False,-0.03254009494852314,0.025055612584156825,603.0,,0.0850828729281768,False,NO_EVIDENCE
theta_drag_pct,NUMERIC,1,ic_raw,17,-0.0020482497841631557,-0.11743889102154459,0.9079738666709831,False,-0.03254009494852314,0.025055612584156825,603.0,,0.08515193370165747,False,NO_EVIDENCE
mp_rule_hits,NUMERIC,1,ic_thesis,8,-0.0028522198368437944,-0.11926197127282914,0.9084183522501637,False,-0.010588732918012583,0.004884293244324997,1264.0,,0.08522099447513813,False,NO_EVIDENCE
vanguard_fwd_momentum_conf,NUMERIC,1,ic_raw,17,0.0014907079365307958,0.11628545574013092,0.9088733689809145,False,-0.002699378023486453,0.00521522878987946,1379.0,,0.08529005524861878,False,NO_EVIDENCE
volatility_pressure,NUMERIC,1,ic_thesis,8,-0.0031743978448970575,-0.1182762026725901,0.9091712896657849,False,-0.03741497735700888,0.031066181667214768,1379.0,,0.08535911602209945,False,NO_EVIDENCE
ev2_ev_structural,NUMERIC,1,ic_raw,17,-0.0019847102776669977,-0.11579999151748391,0.9092519948625151,True,-0.0005086583654529356,-0.003296756421857277,1379.0,,0.08542817679558012,False,NO_EVIDENCE
ev_base,NUMERIC,1,ic_raw,17,-0.0019847102776669977,-0.11579999151748391,0.9092519948625151,True,-0.0005086583654529356,-0.003296756421857277,1379.0,,0.08549723756906077,False,NO_EVIDENCE
repricing_direction,LABEL,10,mean_signed_bps,7,10.021244727544357,0.1431696599370255,0.909470562473421,True,4.852825875196468,13.897558866805273,701.0,0.5027694334468459,0.08556629834254144,False,NO_EVIDENCE
ivp_30d,NUMERIC,10,ic_raw,10,-0.008090070218361408,-0.14308223787785107,0.9095250998839153,False,-0.04097438670540865,0.02479424626868585,547.5,,0.0856353591160221,False,NO_EVIDENCE
layer2__ret_pctl_5d_p60,NUMERIC,5,ic_raw,12,0.005871569162288095,0.12329673694754945,0.9096687290758722,False,0.04873607906147945,-0.03699294073690326,1358.0,,0.08570441988950277,False,NO_EVIDENCE
ev2_ev_path_adj,NUMERIC,1,ic_raw,17,-0.0019660310758771327,-0.11463398683627578,0.910161483677204,True,-0.0005368822865233699,-0.003236385555302701,1379.0,,0.08577348066298343,False,NO_EVIDENCE
actuarial_expected_move_10d,NUMERIC,20,ic_raw,7,-0.009275470855297842,-0.141601067059508,0.9104493166663898,False,0.06915844170305586,-0.06810090527406312,1343.0,,0.0858425414364641,False,NO_EVIDENCE
expected_move_10d,NUMERIC,20,ic_raw,7,-0.009275470855297842,-0.141601067059508,0.9104493166663898,False,0.06915844170305586,-0.06810090527406312,1343.0,,0.08591160220994476,False,NO_EVIDENCE
median_loss_if_down_5d,NUMERIC,10,ic_raw,10,-0.01342703142465829,-0.1413758217655617,0.9105898979791266,False,-0.10206166564776205,0.07520760279844547,1325.5,,0.08598066298342542,False,NO_EVIDENCE
layer2__median_loss_if_down_5d,NUMERIC,10,ic_raw,10,-0.01342703142465829,-0.1413758217655617,0.9105898979791266,False,-0.10206166564776205,0.07520760279844547,1325.5,,0.08604972375690609,False,NO_EVIDENCE
theta_score,NUMERIC,10,ic_raw,10,0.0043234122872506916,0.14122773966360144,0.9106823245659208,False,0.022185873381433123,-0.013539048806931747,1325.5,,0.08611878453038674,False,NO_EVIDENCE
iv_gex_entry_quality,NUMERIC,10,ic_raw,10,0.005141847609258147,0.14022672141035855,0.9113072170634209,False,0.03202696705931246,-0.02174327184079617,1325.5,,0.08618784530386742,False,NO_EVIDENCE
phantom_info_flow_score,NUMERIC,5,ic_raw,14,0.0026333519219410477,0.1168636948066975,0.9130853184182393,False,-0.0027003807963991563,0.007967084640281251,1358.0,,0.08625690607734807,False,NO_EVIDENCE
phantom_info_flow,NUMERIC,5,ic_raw,14,0.0026333519219410477,0.1168636948066975,0.9130853184182393,False,-0.0027003807963991563,0.007967084640281251,1358.0,,0.08632596685082873,False,NO_EVIDENCE
actuarial_risk_10d,NUMERIC,10,ic_raw,10,-0.0067852861615427225,-0.13676311753222203,0.9134707160422002,False,-0.039838087712755786,0.026267515389670336,1325.5,,0.0863950276243094,False,NO_EVIDENCE
risk_10d,NUMERIC,10,ic_raw,10,-0.0067852861615427225,-0.13676311753222203,0.9134707160422002,False,-0.039838087712755786,0.026267515389670336,1325.5,,0.08646408839779006,False,NO_EVIDENCE
efficiency_10d,NUMERIC,20,ic_raw,7,-0.008893562342330774,-0.13668757466637751,0.9135179255972998,False,0.06911935667820879,-0.06740325160773544,1343.0,,0.08653314917127072,False,NO_EVIDENCE
actuarial_efficiency_10d,NUMERIC,20,ic_raw,7,-0.008893562342330774,-0.13668757466637751,0.9135179255972998,False,0.06911935667820879,-0.06740325160773544,1343.0,,0.08660220994475139,False,NO_EVIDENCE
theta_decay_expected,NUMERIC,5,ic_raw,14,0.0022429037672778854,0.11602022215395379,0.9137090525312398,False,0.004516214604225713,-3.0407069669942587e-05,587.0,,0.08667127071823205,False,NO_EVIDENCE
theta_drag_pct,NUMERIC,5,ic_raw,14,0.0022429037672778854,0.11602022215395379,0.9137090525312398,False,0.004516214604225713,-3.0407069669942587e-05,587.0,,0.08674033149171272,False,NO_EVIDENCE
layer2__raw_expected_return,NUMERIC,10,ic_raw,10,-0.0051478811608777235,-0.13613156090756479,0.9138654287522253,False,-0.030792985944038752,0.020497223622283307,1325.5,,0.08680939226519338,False,NO_EVIDENCE
layer2__median_loss_if_down_10d,NUMERIC,5,ic_raw,14,0.00721655228340607,0.11579783863669504,0.9138735143908121,False,-0.03325887411637526,0.0476919786831874,1358.0,,0.08687845303867403,False,NO_EVIDENCE
median_loss_if_down_10d,NUMERIC,5,ic_raw,14,0.00721655228340607,0.11579783863669504,0.9138735143908121,False,-0.03325887411637526,0.0476919786831874,1358.0,,0.08694751381215471,False,NO_EVIDENCE
layer2__median_gain_if_up_5d,NUMERIC,10,ic_raw,10,0.013281570040638032,0.13571297906017143,0.9141270723984434,False,0.1061858325840215,-0.07962269250274542,1325.5,,0.08701657458563537,False,NO_EVIDENCE
median_gain_if_up_5d,NUMERIC,10,ic_raw,10,0.013281570040638032,0.13571297906017143,0.9141270723984434,False,0.1061858325840215,-0.07962269250274542,1325.5,,0.08708563535911602,False,NO_EVIDENCE
layer2__raw_prob_down_20d,NUMERIC,1,ic_thesis,8,-0.002302682347428666,-0.11159014165140799,0.9142807542000263,False,0.03232814688292952,-0.036933511577786855,1379.0,,0.08715469613259669,False,NO_EVIDENCE
vanguard_fwd_momentum_conf,NUMERIC,1,ic_thesis,8,-0.0010582097220210745,-0.1112838123442589,0.9145149561761257,False,-0.007207522294850522,0.005091102850808371,1379.0,,0.08722375690607735,False,NO_EVIDENCE
ev2_ev_10d,NUMERIC,10,ic_raw,10,-0.004549314191473601,-0.13477901596223132,0.9147109713578139,True,-6.038167041740178e-05,-0.009038246712529802,1325.5,,0.08729281767955802,False,NO_EVIDENCE
layer2__ret_pctl_20d_p05,NUMERIC,5,ic_raw,12,0.006741448266046779,0.11507156351980931,0.9156582205892182,False,-0.03915817964360697,0.05264107617570054,1358.0,,0.08736187845303868,False,NO_EVIDENCE
