input,kind,horizon,metric,sessions,mean,t,p,years,same_sign_years,yearly,hit_rate,share_positive_label,bh_threshold,fdr_significant,evidence
wyckoff_score,NUMERIC,1,ic_thesis,199,0.0025076250291187503,0.5018651459043899,0.6163199890351124,5,3,"{'2022': -0.0012, '2023': 0.004, '2024': 0.0079, '2025': 0.0028, '2026': -0.0069}",,,0.05425531914893618,False,NO_EVIDENCE
crabel_compression,NUMERIC,1,ic_thesis,199,-0.0024735783560033303,-0.49913004942514183,0.6182418819103795,5,3,"{'2022': -0.0124, '2023': 0.0043, '2024': -0.0021, '2025': -0.0115, '2026': 0.0056}",,,0.05452127659574468,False,NO_EVIDENCE
baseline_past_return_20,NUMERIC,1,ic_thesis,199,-0.003024754550161965,-0.49719138445021166,0.6196057363632679,5,2,"{'2022': -0.0164, '2023': 0.0019, '2024': 0.0015, '2025': -0.0137, '2026': 0.0062}",,,0.054787234042553194,False,NO_EVIDENCE
dollar_volume_zscore,NUMERIC,20,ic_thesis,199,0.0039838289114728555,0.4984177280638451,0.6204310194710302,5,3,"{'2022': 0.013, '2023': -0.0011, '2024': -0.0063, '2025': 0.0092, '2026': 0.0151}",,,0.05505319148936171,False,NO_EVIDENCE
abnormal_repricing_score,NUMERIC,5,ic_thesis,199,-0.0034369343945037357,-0.482578806699642,0.6299279187766323,5,3,"{'2022': -0.0222, '2023': -0.0089, '2024': 0.0044, '2025': 0.0001, '2026': -0.0025}",,,0.055319148936170216,False,NO_EVIDENCE
wyckoff_validation_transition_probability_10_bars,NUMERIC,10,ic_raw,199,-0.0027641093093310723,-0.4799200891610587,0.632348216284675,5,3,"{'2022': -0.0189, '2023': 0.0068, '2024': -0.0004, '2025': 0.0002, '2026': -0.0174}",,,0.05558510638297873,False,NO_EVIDENCE
wyckoff_transition_conf,NUMERIC,1,ic_raw,60,0.005000409027918889,0.4789852474629904,0.633719634305343,5,3,"{'2022': -0.0267, '2023': 0.045, '2024': 0.0158, '2025': -0.0263, '2026': 0.0058}",,,0.05585106382978723,False,NO_EVIDENCE
lift_proxy_score,NUMERIC,10,ic_thesis,199,0.00289126830529028,0.476239554971154,0.6349584022019906,5,4,"{'2022': 0.0053, '2023': -0.0065, '2024': 0.0069, '2025': 0.0017, '2026': 0.0118}",,,0.05611702127659575,False,NO_EVIDENCE
early_formation_score,NUMERIC,10,ic_thesis,196,-0.004902076169115965,-0.4753382963415963,0.6356145156666294,5,4,"{'2022': 0.0282, '2023': -0.0028, '2024': -0.0032, '2025': -0.0089, '2026': -0.0223}",,,0.05638297872340426,False,NO_EVIDENCE
lift_proxy_score,NUMERIC,20,ic_thesis,199,0.00392980044012065,0.47308609448252525,0.6382632458553728,5,3,"{'2022': 0.0185, '2023': -0.0048, '2024': 0.0102, '2025': -0.0015, '2026': 0.0084}",,,0.056648936170212764,False,NO_EVIDENCE
atr_percentile_rank,NUMERIC,10,ic_raw,199,0.004797372549485236,0.4685274416901608,0.6404426645905099,5,3,"{'2022': 0.0621, '2023': 0.0076, '2024': -0.0166, '2025': 0.0082, '2026': -0.0019}",,,0.05691489361702128,False,NO_EVIDENCE
event_evidence_strength,NUMERIC,1,ic_thesis,199,-0.0020600400921245926,-0.4640925703462237,0.6430912627379702,5,3,"{'2022': -0.0157, '2023': -0.0018, '2024': 0.0009, '2025': 0.0007, '2026': -0.0043}",,,0.057180851063829786,False,NO_EVIDENCE
baseline_past_return_1,NUMERIC,5,ic_thesis,199,-0.002538885578428489,-0.46112557921145486,0.6452146406357341,5,2,"{'2022': 0.0116, '2023': -0.008, '2024': -0.0234, '2025': 0.0011, '2026': 0.0254}",,,0.057446808510638304,False,NO_EVIDENCE
atr_pct,NUMERIC,5,ic_raw,199,-0.007183999560007175,-0.4568460924733848,0.648282465497716,5,4,"{'2022': -0.0373, '2023': -0.0047, '2024': -0.0263, '2025': 0.02, '2026': -0.0078}",,,0.057712765957446815,False,NO_EVIDENCE
fusion_alignment_score,NUMERIC,5,ic_thesis,199,0.0020553408005257222,0.4568169647049978,0.6483033669508846,5,4,"{'2022': 0.0258, '2023': -0.0117, '2024': 0.0021, '2025': 0.0007, '2026': 0.0129}",,,0.05797872340425532,False,NO_EVIDENCE
composite_adjusted,NUMERIC,5,ic_raw,199,-0.003140018074341502,-0.45458507934640313,0.6499057487000008,5,3,"{'2022': -0.0104, '2023': 0.0025, '2024': -0.0105, '2025': 0.0003, '2026': -0.002}",,,0.05824468085106384,False,NO_EVIDENCE
composite_score,NUMERIC,5,ic_raw,199,-0.003140018074341502,-0.45458507934640313,0.6499057487000008,5,3,"{'2022': -0.0104, '2023': 0.0025, '2024': -0.0105, '2025': 0.0003, '2026': -0.002}",,,0.05851063829787234,False,NO_EVIDENCE
atr_pct,NUMERIC,10,ic_thesis,199,0.004155246555942767,0.45296389487536926,0.6515709332546921,5,3,"{'2022': 0.0064, '2023': -0.0072, '2024': 0.013, '2025': 0.0099, '2026': -0.0021}",,,0.05877659574468085,False,NO_EVIDENCE
early_formation_score,NUMERIC,5,ic_raw,196,-0.0038056625705653385,-0.4471832378759757,0.6552390673895059,5,3,"{'2022': -0.0687, '2023': -0.0097, '2024': 0.021, '2025': 0.001, '2026': -0.0054}",,,0.05904255319148937,False,NO_EVIDENCE
abnormal_repricing_score,NUMERIC,5,ic_raw,199,-0.002710771043715018,-0.44605490278096305,0.6560449808687118,5,2,"{'2022': -0.0487, '2023': 0.0022, '2024': -0.0167, '2025': 0.007, '2026': 0.0208}",,,0.059308510638297875,False,NO_EVIDENCE
atr_pct,NUMERIC,5,ic_thesis,199,0.0028914901428988477,0.44424251302572615,0.657352410256879,5,3,"{'2022': -0.0159, '2023': -0.0092, '2024': 0.0067, '2025': 0.0117, '2026': 0.012}",,,0.059574468085106386,False,NO_EVIDENCE
move_age_bars,NUMERIC,5,ic_thesis,199,-0.00252864370310164,-0.4438790027950955,0.6576147682197173,5,3,"{'2022': 0.0036, '2023': 0.0061, '2024': -0.0064, '2025': -0.0095, '2026': -0.0022}",,,0.0598404255319149,False,NO_EVIDENCE
crabel_compression,NUMERIC,5,ic_raw,199,-0.003044893730787445,-0.4429579882746906,0.6582796866224062,5,4,"{'2022': -0.0228, '2023': -0.0094, '2024': -0.0047, '2025': -0.0008, '2026': 0.0163}",,,0.06010638297872341,False,NO_EVIDENCE
wyckoff_validation_phase_correctness_score,NUMERIC,5,ic_raw,199,-0.003022914646940839,-0.4371474467991641,0.6624808185987515,5,4,"{'2022': -0.023, '2023': 0.0068, '2024': -0.0101, '2025': -0.0001, '2026': -0.0012}",,,0.060372340425531926,False,NO_EVIDENCE
event_evidence_strength,NUMERIC,10,ic_raw,199,-0.002744093746151136,-0.4370301068007256,0.6630461318640335,5,3,"{'2022': -0.0065, '2023': 0.0048, '2024': -0.0167, '2025': -0.0028, '2026': 0.0094}",,,0.06063829787234043,False,NO_EVIDENCE
win_probability,NUMERIC,5,ic_raw,199,-0.0030023228838609163,-0.434833563777891,0.6641567932287046,5,3,"{'2022': -0.0102, '2023': 0.0029, '2024': -0.0105, '2025': 0.0004, '2026': -0.002}",,,0.06090425531914894,False,NO_EVIDENCE
wyckoff_validation_phase_maturity_score,NUMERIC,10,ic_raw,199,0.0031876967796621867,0.4325317847101836,0.6663004705669935,5,3,"{'2022': -0.0214, '2023': 0.0178, '2024': -0.0089, '2025': 0.0095, '2026': 0.0024}",,,0.061170212765957445,False,NO_EVIDENCE
repricing_direction,LABEL,5,mean_signed_bps,199,-2.589284980397816,-0.43093230632563534,0.6669863552830135,5,3,"{'2022': 1.1164, '2023': -6.8479, '2024': -13.652, '2025': 10.9326, '2026': -1.7462}",0.4981036392287077,0.5422724443105986,0.06143617021276596,False,NO_EVIDENCE
baseline_past_return_60,NUMERIC,20,ic_thesis,199,0.004776719663494764,0.43187105326909675,0.6677392988737131,5,4,"{'2022': 0.0096, '2023': 0.0075, '2024': 0.0036, '2025': 0.0145, '2026': -0.0154}",,,0.061702127659574474,False,NO_EVIDENCE
baseline_past_return_60,NUMERIC,1,ic_raw,199,0.005646742284166858,0.422361807532271,0.6732192318456452,5,2,"{'2022': -0.035, '2023': -0.0075, '2024': 0.0423, '2025': -0.0128, '2026': 0.0193}",,,0.06196808510638298,False,NO_EVIDENCE
base_conditions_count,NUMERIC,5,ic_raw,179,0.0029357415106337705,0.4149571145106058,0.6786730067236827,5,2,"{'2022': -0.0315, '2023': -0.0051, '2024': 0.0219, '2025': 0.0105, '2026': -0.0108}",,,0.062234042553191496,False,NO_EVIDENCE
base_conditions_count,NUMERIC,20,ic_thesis,179,-0.006080740236636592,-0.41493028114188346,0.6802207078531836,5,3,"{'2022': 0.033, '2023': 0.0154, '2024': -0.0241, '2025': -0.025, '2026': -0.0017}",,,0.0625,False,NO_EVIDENCE
gap_pct,NUMERIC,10,ic_thesis,199,-0.003088560846453637,-0.4103022808045741,0.6824753143899656,5,3,"{'2022': -0.0203, '2023': 0.009, '2024': -0.0163, '2025': 0.0046, '2026': -0.0042}",,,0.06276595744680852,False,NO_EVIDENCE
base_conditions_count,NUMERIC,1,ic_thesis,179,0.003190666153745642,0.4097534825756534,0.6824794863723843,5,3,"{'2022': 0.029, '2023': 0.0119, '2024': -0.009, '2025': -0.0077, '2026': 0.0135}",,,0.06303191489361702,False,NO_EVIDENCE
crabel_compression,NUMERIC,5,ic_thesis,199,0.0019697049842206204,0.4048876714666744,0.6859971647627003,5,4,"{'2022': 0.0063, '2023': 0.0019, '2024': 0.009, '2025': 0.0022, '2026': -0.0115}",,,0.06329787234042554,False,NO_EVIDENCE
crabel_score,NUMERIC,10,ic_raw,199,-0.003213572042714915,-0.40407173455810935,0.6870359473303295,5,3,"{'2022': -0.036, '2023': -0.0126, '2024': 0.0115, '2025': 0.0021, '2026': -0.0024}",,,0.06356382978723404,False,NO_EVIDENCE
days_in_range,NUMERIC,1,ic_thesis,196,-0.003038159509625931,-0.39544081159682654,0.6929498607968393,5,2,"{'2022': 0.0202, '2023': 0.0066, '2024': -0.0373, '2025': -0.0024, '2026': 0.0211}",,,0.06382978723404255,False,NO_EVIDENCE
fusion_contradictions,NUMERIC,1,ic_raw,199,-0.002284549299935016,-0.3934149159041929,0.6944363480847754,5,4,"{'2022': -0.0007, '2023': -0.0051, '2024': -0.0005, '2025': 0.0059, '2026': -0.0143}",,,0.06409574468085107,False,NO_EVIDENCE
abnormal_repricing_score,NUMERIC,20,ic_raw,199,0.004194128291645819,0.3944030784887238,0.6950036225327787,5,4,"{'2022': 0.0055, '2023': 0.0074, '2024': -0.0073, '2025': 0.0043, '2026': 0.0163}",,,0.06436170212765958,False,NO_EVIDENCE
wyckoff_validation_transition_probability_10_bars,NUMERIC,20,ic_raw,199,-0.003115460740830249,-0.39207394799987316,0.6967124308313296,5,4,"{'2022': -0.0263, '2023': 0.0078, '2024': -0.0053, '2025': -0.002, '2026': -0.0061}",,,0.06462765957446809,False,NO_EVIDENCE
wyckoff_score,NUMERIC,20,ic_thesis,199,0.003414403688706525,0.3920041928439027,0.6967636324851636,5,3,"{'2022': 0.0427, '2023': 0.0034, '2024': 0.0031, '2025': -0.0059, '2026': -0.0023}",,,0.0648936170212766,False,NO_EVIDENCE
wyckoff_validation_transition_probability_20_bars,NUMERIC,10,ic_raw,199,0.0028485989146458447,0.38895847458170213,0.6981464203572396,5,3,"{'2022': -0.0231, '2023': 0.0176, '2024': -0.0086, '2025': 0.0072, '2026': 0.0047}",,,0.06515957446808511,False,NO_EVIDENCE
lift_proxy_score,NUMERIC,10,ic_raw,199,-0.00298927708426433,-0.38576578679721557,0.7005020420212085,5,3,"{'2022': -0.0448, '2023': 0.0024, '2024': -0.0089, '2025': -0.0013, '2026': 0.0175}",,,0.06542553191489361,False,NO_EVIDENCE
event_evidence_strength,NUMERIC,20,ic_thesis,199,0.0028468302044774626,0.38534700408472883,0.7016566633320933,5,4,"{'2022': 0.0149, '2023': 0.001, '2024': 0.0045, '2025': -0.0065, '2026': 0.0113}",,,0.06569148936170213,False,NO_EVIDENCE
wyckoff_validation_transition_probability_5_bars,NUMERIC,1,ic_raw,199,-0.0017041710539576842,-0.37971122980070005,0.7045667367082873,5,3,"{'2022': -0.0207, '2023': -0.0037, '2024': 0.0045, '2025': 0.0018, '2026': -0.0036}",,,0.06595744680851064,False,NO_EVIDENCE
wyckoff_validation_alternative_phase_probability,NUMERIC,20,ic_thesis,199,0.002828244740229597,0.3803035713506764,0.7053721077112397,5,4,"{'2022': 0.0102, '2023': 0.0069, '2024': 0.0034, '2025': 0.0078, '2026': -0.0162}",,,0.06622340425531915,False,NO_EVIDENCE
governed_invalidation_spot,NUMERIC,20,ic_thesis,199,0.004218098922568545,0.37799625016121596,0.7070743119252869,5,2,"{'2022': -0.0527, '2023': 0.0211, '2024': -0.0017, '2025': -0.011, '2026': 0.0412}",,,0.06648936170212766,False,NO_EVIDENCE
gap_pct,NUMERIC,5,ic_raw,199,-0.004541989661162197,-0.3719798460998759,0.7103056529999365,5,2,"{'2022': 0.0532, '2023': -0.019, '2024': -0.0578, '2025': 0.015, '2026': 0.04}",,,0.06675531914893618,False,NO_EVIDENCE
baseline_past_return_20,NUMERIC,10,ic_raw,199,-0.005174873904549848,-0.35889991556962075,0.7204381189577812,5,4,"{'2022': -0.0013, '2023': -0.0076, '2024': -0.0046, '2025': -0.0183, '2026': 0.0161}",,,0.0670212765957447,False,NO_EVIDENCE
range_pct,NUMERIC,20,ic_raw,199,-0.007876316941212358,-0.35816691965314845,0.7217646937204305,5,3,"{'2022': 0.0015, '2023': -0.0141, '2024': -0.0324, '2025': 0.0148, '2026': -0.0002}",,,0.0672872340425532,False,NO_EVIDENCE
phase_strength,NUMERIC,10,ic_thesis,196,-0.003860633383776863,-0.347745111394958,0.7287850822386183,5,1,"{'2022': 0.0352, '2023': 0.0075, '2024': -0.052, '2025': 0.0064, '2026': 0.0159}",,,0.0675531914893617,False,NO_EVIDENCE
baseline_past_return_1,NUMERIC,20,ic_raw,199,0.00595952148194078,0.3485871562910364,0.7289002723579455,5,2,"{'2022': -0.0041, '2023': -0.0132, '2024': -0.0004, '2025': 0.0075, '2026': 0.0488}",,,0.0678191489361702,False,NO_EVIDENCE
wyckoff_validation_alternative_phase_probability,NUMERIC,1,ic_raw,199,-0.0014167664017751054,-0.346021393303272,0.7296940286482683,5,2,"{'2022': 0.0059, '2023': -0.0039, '2024': 0.0001, '2025': 0.0012, '2026': -0.0079}",,,0.06808510638297872,False,NO_EVIDENCE
phase_convergence,NUMERIC,5,ic_thesis,199,-0.001699122612751099,-0.34370606344032545,0.7314320548663448,5,3,"{'2022': -0.0068, '2023': -0.0057, '2024': -0.0098, '2025': 0.0004, '2026': 0.0165}",,,0.06835106382978724,False,NO_EVIDENCE
lift_proxy_score,NUMERIC,5,ic_raw,199,-0.0019884074556077644,-0.34297860976251027,0.7319784127862403,5,3,"{'2022': -0.0333, '2023': 0.0097, '2024': -0.0069, '2025': -0.0056, '2026': 0.0098}",,,0.06861702127659575,False,NO_EVIDENCE
baseline_past_return_60,NUMERIC,5,ic_thesis,199,0.0019498585834845598,0.33846986280878866,0.7353677757353742,5,3,"{'2022': 0.0459, '2023': 0.0039, '2024': -0.0059, '2025': 0.0042, '2026': -0.0156}",,,0.06888297872340426,False,NO_EVIDENCE
volume_ratio,NUMERIC,10,ic_thesis,199,0.0019911483464078307,0.3301293556070875,0.742003324190785,5,4,"{'2022': 0.0083, '2023': 0.0042, '2024': -0.0133, '2025': 0.0096, '2026': 0.0072}",,,0.06914893617021277,False,NO_EVIDENCE
volume_ratio,NUMERIC,10,ic_raw,199,0.0022294191950479585,0.32951229411916494,0.7424681796503704,5,2,"{'2022': -0.0099, '2023': 0.0103, '2024': -0.0069, '2025': -0.0013, '2026': 0.0159}",,,0.06941489361702129,False,NO_EVIDENCE
wyckoff_validation_transition_probability_10_bars,NUMERIC,1,ic_raw,199,-0.0014656176642809235,-0.3269415273486874,0.7440574766550878,5,3,"{'2022': -0.0208, '2023': -0.0027, '2024': 0.0051, '2025': 0.0012, '2026': -0.0038}",,,0.06968085106382979,False,NO_EVIDENCE
