             label  h         iv direction    n  sessions     b_F  se_F_hc1  t_F_hc1  p_F_hc1  t_F_cl_ticker    b_IV  t_IV_hc1  frac_sessions_bF_pos  frac_sessions_tF_gt2              power
session:2026-08-13  5    IV_pipe    POOLED  592       1.0  0.5470    0.0612   8.9387   0.0000         8.9387  0.0028    0.0789                   NaN                   NaN                 OK
session:2026-08-14  5    IV_pipe    POOLED  522       1.0  0.5938    0.0877   6.7742   0.0000         6.7742 -0.0442   -1.0268                   NaN                   NaN                 OK
session:2026-08-17  5    IV_pipe    POOLED  545       1.0  0.8859    0.1194   7.4213   0.0000         7.4213 -0.0103   -0.3284                   NaN                   NaN                 OK
session:2026-08-19  5    IV_pipe    POOLED  424       1.0  0.3841    0.0548   7.0111   0.0000         7.0111 -0.0094   -0.4999                   NaN                   NaN                 OK
session:2026-08-20  5    IV_pipe    POOLED  368       1.0  0.2227    0.0633   3.5163   0.0004         3.5163  0.0338    0.6889                   NaN                   NaN                 OK
session:2026-08-21  5    IV_pipe    POOLED  463       1.0  0.4110    0.0937   4.3869   0.0000         4.3869  0.1195    2.0095                   NaN                   NaN                 OK
session:2026-08-28  5    IV_pipe    POOLED  927       1.0  0.1081    0.1089   0.9928   0.3208         0.9928  0.3271    1.7324                   NaN                   NaN                 OK
session:2026-08-31  5    IV_pipe    POOLED  932       1.0  0.1284    0.1225   1.0486   0.2944         1.0486  0.4428    2.0127                   NaN                   NaN                 OK
session:2026-09-01  5    IV_pipe    POOLED 1045       1.0  0.3891    0.0788   4.9394   0.0000         4.9394  0.1083    1.4836                   NaN                   NaN                 OK
session:2026-09-03  5    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04  5    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08  5    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09  5    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10  5    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth  5    IV_pipe    POOLED 8062      13.0  0.4157    0.0606   6.8575   0.0000            NaN     NaN       NaN                1.0000                0.8462                 OK
session:2026-07-22 10    IV_pipe    POOLED  598       1.0  0.1154    0.0778   1.4833   0.1380         1.4833  0.1762    2.7526                   NaN                   NaN                 OK
session:2026-07-30 10    IV_pipe    POOLED  551       1.0  0.4986    0.0743   6.7082   0.0000         6.7082  0.2360    3.3512                   NaN                   NaN                 OK
session:2026-08-03 10    IV_pipe    POOLED  576       1.0  0.4935    0.0784   6.2928   0.0000         6.2928  0.1893    2.8243                   NaN                   NaN                 OK
session:2026-08-07 10    IV_pipe    POOLED  517       1.0  0.4051    0.0621   6.5207   0.0000         6.5207  0.0199    0.3901                   NaN                   NaN                 OK
session:2026-08-13 10    IV_pipe    POOLED  592       1.0  0.4304    0.0521   8.2664   0.0000         8.2664  0.0361    1.2048                   NaN                   NaN                 OK
session:2026-08-14 10    IV_pipe    POOLED  522       1.0  0.6569    0.0875   7.5105   0.0000         7.5105  0.0342    0.7820                   NaN                   NaN                 OK
session:2026-08-17 10    IV_pipe    POOLED  545       1.0  0.7679    0.0903   8.5040   0.0000         8.5040  0.0209    0.8441                   NaN                   NaN                 OK
session:2026-08-19 10    IV_pipe    POOLED  424       1.0  0.4389    0.0622   7.0605   0.0000         7.0605  0.0560    0.9958                   NaN                   NaN                 OK
session:2026-08-20 10    IV_pipe    POOLED  368       1.0  0.2011    0.0952   2.1117   0.0347         2.1117  0.2247    1.4581                   NaN                   NaN                 OK
session:2026-08-21 10    IV_pipe    POOLED  463       1.0  0.3072    0.0988   3.1112   0.0019         3.1112  0.2090    1.2109                   NaN                   NaN                 OK
session:2026-08-28 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-08-31 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-01 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-03 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-04 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-08 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-09 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
session:2026-09-10 10    IV_pipe    POOLED    0       NaN     NaN       NaN      NaN      NaN            NaN     NaN       NaN                   NaN                   NaN INSUFFICIENT_POWER
      fama_macbeth 10    IV_pipe    POOLED 5156      10.0  0.4315    0.0616   7.0054   0.0001            NaN     NaN       NaN                1.0000                0.9000                 OK
